id,kategorie,frage,antwortoptionen,korrekte_antwort,schwierigkeitsgrad,tag,erklaerung
70,Mathe,Was ist 12 * 8?,"[""96"", ""88"", ""108"", ""120""]",96,1,Grundrechenarten,Einfache Multiplikation
71,Mathe,Was ist 2 hoch 5?,"[""10"", ""32"", ""64"", ""25""]",32,2,Potenzen,Kleine Potenzrechnung
72,Mathe,Was ist ein Viertel von 100?,"[""20"", ""25"", ""30"", ""10""]",25,1,Bruchrechnung,Einfache Bruchaufgabe
73,Mathe,Wieviel ist 500 minus 123?,"[""377"", ""387"", ""400"", ""423""]",377,2,Grundrechenarten,Einfache Subtraktion
74,Mathe,Welche der folgenden Zahlen ist keine Primzahl?,"[""2"", ""3"", ""9"", ""7""]",9,3,Zahlentheorie,9 ist durch 3 teilbar
75,Geografie,Welches Meer grenzt an Saudi-Arabien im Osten?,"[""Rotes Meer"", ""Persischer Golf"", ""Mittelmeer"", ""Arabisches Meer""]",Persischer Golf,2,Asien,Saudi-Arabien hat Küsten am Roten Meer und am Persischen Golf
76,Geografie,Wie heiss die Hauptstadt von Brasilien?,"[""BrasÃ­lia"", ""Rio de Janeiro"", ""SÃ£o Paulo"", ""Salvador""]",BrasÃ­lia,2,Südamerika,Hauptstadt seit 1960
77,Geografie,Welcher Kontinent ist der kleinste der Erde?,"[""Australien"", ""Antarktika"", ""Europa"", ""Südamerika""]",Australien,1,Kontinente,Australien gilt als kleinster Kontinent
78,Geografie,Durch welches Land fliess grössenteils der Fluss Ganges?,"[""Pakistan"", ""Indien"", ""China"", ""Nepal""]",Indien,3,Asien,Durchquert hauptsächlich den Norden Indiens
79,Geografie,Welche Insel gilt als grösse Insel der Welt die einem Land zugeordnet ist?,"[""Grönland"", ""Borneo"", ""Madagaskar"", ""Neuguinea""]",Grönland,3,Inseln,Grönland gehört zu Dänemark
80,Geschichte,In welchem Jahr endete der Dreissigjährige Krieg?,"[""1618"", ""1648"", ""1650"", ""1700""]",1648,3,FrüheNeuzeit,Westfälischer Friede beendete den Krieg
